Region,Category,Feature,Label,Area_cnt,Area_ratio
Greater Sydney,People and population,People,Male,"2,585,238",49.4
Greater Sydney,People and population,People,Female,"2,645,912",50.6
Greater Sydney,People and population,Indigenous status,Aboriginal and/or Torres Strait Islander,"90,939",1.7
Greater Sydney,People and population,Indigenous status,Non-Indigenous,"4,916,487",94.0
Greater Sydney,People and population,Indigenous status,Indigenous status not stated,"223,727",4.3
Greater Sydney,People and population,Age,Median age,37,N/A
Greater Sydney,People and population,Age,0-4 years,"312,364",6.0
Greater Sydney,People and population,Age,5-9 years,"329,072",6.3
Greater Sydney,People and population,Age,10-14 years,"321,768",6.2
Greater Sydney,People and population,Age,15-19 years,"294,764",5.6
Greater Sydney,People and population,Age,20-24 years,"343,064",6.6
Greater Sydney,People and population,Age,25-29 years,"393,535",7.5
Greater Sydney,People and population,Age,30-34 years,"417,779",8.0
Greater Sydney,People and population,Age,35-39 years,"413,405",7.9
Greater Sydney,People and population,Age,40-44 years,"364,341",7.0
Greater Sydney,People and population,Age,45-49 years,"344,721",6.6
Greater Sydney,People and population,Age,50-54 years,"322,446",6.2
Greater Sydney,People and population,Age,55-59 years,"303,485",5.8
Greater Sydney,People and population,Age,60-64 years,"275,683",5.3
Greater Sydney,People and population,Age,65-69 years,"234,579",4.5
Greater Sydney,People and population,Age,70-74 years,"204,890",3.9
Greater Sydney,People and population,Age,75-79 years,"147,312",2.8
Greater Sydney,People and population,Age,80-84 years,"102,203",2.0
Greater Sydney,People and population,Age,85 years and over,"105,729",2.0
Greater Sydney,People and population,Registered marital status,Married,"2,062,160",48.3
Greater Sydney,People and population,Registered marital status,Separated,"125,769",2.9
Greater Sydney,People and population,Registered marital status,Divorced,"332,916",7.8
Greater Sydney,People and population,Registered marital status,Widowed,"191,863",4.5
Greater Sydney,People and population,Registered marital status,Never married,"1,555,230",36.4
Greater Sydney,People and population,Social marital status,Registered marriage (a),"1,891,549",47.9
Greater Sydney,People and population,Social marital status,De facto marriage (b),"381,634",9.7
Greater Sydney,People and population,Social marital status,Not married,"1,674,575",42.4
Greater Sydney,Education,Type of educational institution attending,Preschool,"108,505",6.7
Greater Sydney,Education,Type of educational institution attending,Primary,null,null
Greater Sydney,Education,Type of educational institution attending,Primary - Government,"291,148",17.9
Greater Sydney,Education,Type of educational institution attending,Primary - Catholic,"80,701",4.9
Greater Sydney,Education,Type of educational institution attending,Primary - other non-Government,"54,908",3.4
Greater Sydney,Education,Type of educational institution attending,Primary total (a),"427,508",26.2
Greater Sydney,Education,Type of educational institution attending,Secondary,null,null
Greater Sydney,Education,Type of educational institution attending,Secondary - Government,"183,872",11.3
Greater Sydney,Education,Type of educational institution attending,Secondary - Catholic,"85,818",5.3
Greater Sydney,Education,Type of educational institution attending,Secondary - other non-Government,"68,980",4.2
Greater Sydney,Education,Type of educational institution attending,Secondary total (b),"339,220",20.8
Greater Sydney,Education,Type of educational institution attending,Tertiary,null,null
Greater Sydney,Education,Type of educational institution attending,Tertiary - Vocational education (including TAFE and private training providers),"137,739",8.4
Greater Sydney,Education,Type of educational institution attending,Tertiary - University or other higher education,"288,727",17.7
Greater Sydney,Education,Type of educational institution attending,Tertiary total (c),"427,287",26.2
Greater Sydney,Education,Type of educational institution attending,Other,"58,789",3.6
Greater Sydney,Education,Type of educational institution attending,Not stated,"269,743",16.5
Greater Sydney,Education,Level of highest educational attainment,Bachelor Degree level and above,"1,423,358",33.3
Greater Sydney,Education,Level of highest educational attainment,Advanced Diploma and Diploma level,"412,740",9.7
Greater Sydney,Education,Level of highest educational attainment,Certificate level IV,"116,490",2.7
Greater Sydney,Education,Level of highest educational attainment,Certificate level III,"389,224",9.1
Greater Sydney,Education,Level of highest educational attainment,Year 12,"679,878",15.9
Greater Sydney,Education,Level of highest educational attainment,Year 11,"125,161",2.9
Greater Sydney,Education,Level of highest educational attainment,Year 10,"359,130",8.4
Greater Sydney,Education,Level of highest educational attainment,Certificate level II,"2,110",0.0
Greater Sydney,Education,Level of highest educational attainment,Certificate level I,429,0.0
Greater Sydney,Education,Level of highest educational attainment,Year 9 or below,"266,766",6.3
Greater Sydney,Education,Level of highest educational attainment,Inadequately described,"119,016",2.8
Greater Sydney,Education,Level of highest educational attainment,No educational attainment,"55,835",1.3
Greater Sydney,Education,Level of highest educational attainment,Not stated,"317,095",7.4
Greater Sydney,Cultural diversity,"Ancestry, top responses",English,"1,244,708",23.8
Greater Sydney,Cultural diversity,"Ancestry, top responses",Australian,"1,167,625",22.3
Greater Sydney,Cultural diversity,"Ancestry, top responses",Chinese,"552,680",10.6
Greater Sydney,Cultural diversity,"Ancestry, top responses",Irish,"401,092",7.7
Greater Sydney,Cultural diversity,"Ancestry, top responses",Scottish,"315,681",6.0
Greater Sydney,Cultural diversity,"Country of birth, top responses",Australia,"2,970,737",56.8
Greater Sydney,Cultural diversity,"Country of birth, top responses",Other top responses:,null,null
Greater Sydney,Cultural diversity,"Country of birth, top responses",China (excludes SARs and Taiwan),"238,316",4.6
Greater Sydney,Cultural diversity,"Country of birth, top responses",India,"187,810",3.6
Greater Sydney,Cultural diversity,"Country of birth, top responses",England,"153,052",2.9
Greater Sydney,Cultural diversity,"Country of birth, top responses",Vietnam,"93,778",1.8
Greater Sydney,Cultural diversity,"Country of birth, top responses",Philippines,"91,339",1.7
Greater Sydney,Cultural diversity,Country of birth of parents,Both parents born overseas,"2,741,512",52.4
Greater Sydney,Cultural diversity,Country of birth of parents,Father only born overseas,"341,632",6.5
Greater Sydney,Cultural diversity,Country of birth of parents,Mother only born overseas,"248,281",4.7
Greater Sydney,Cultural diversity,Country of birth of parents,Both parents born in Australia,"1,620,768",31.0
Greater Sydney,Cultural diversity,Country of birth of parents,Not stated,"278,959",5.3
Greater Sydney,Cultural diversity,"Country of birth of father, top stated responses",Australia,"1,873,629",35.8
Greater Sydney,Cultural diversity,"Country of birth of father, top stated responses",China (excludes SARs and Taiwan),"348,801",6.7
Greater Sydney,Cultural diversity,"Country of birth of father, top stated responses",England,"263,129",5.0
Greater Sydney,Cultural diversity,"Country of birth of father, top stated responses",India,"258,407",4.9
Greater Sydney,Cultural diversity,"Country of birth of father, top stated responses",Lebanon,"153,598",2.9
Greater Sydney,Cultural diversity,"Country of birth of mother, top stated responses",Australia,"1,968,985",37.6
Greater Sydney,Cultural diversity,"Country of birth of mother, top stated responses",China (excludes SARs and Taiwan),"349,327",6.7
Greater Sydney,Cultural diversity,"Country of birth of mother, top stated responses",India,"253,673",4.8
Greater Sydney,Cultural diversity,"Country of birth of mother, top stated responses",England,"230,364",4.4
Greater Sydney,Cultural diversity,"Country of birth of mother, top stated responses",Vietnam,"144,761",2.8
Greater Sydney,Cultural diversity,"Religious affiliation, top responses","No Religion, so described","1,583,084",30.3
Greater Sydney,Cultural diversity,"Religious affiliation, top responses",Catholic,"1,210,979",23.1
Greater Sydney,Cultural diversity,"Religious affiliation, top responses",Anglican,"478,777",9.2
Greater Sydney,Cultural diversity,"Religious affiliation, top responses",Islam,"329,566",6.3
Greater Sydney,Cultural diversity,"Religious affiliation, top responses",Not stated,"326,469",6.2
Greater Sydney,Cultural diversity,"Language used at home, top responses (other than English)",Mandarin,"259,429",5.0
Greater Sydney,Cultural diversity,"Language used at home, top responses (other than English)",Arabic,"219,483",4.2
Greater Sydney,Cultural diversity,"Language used at home, top responses (other than English)",Cantonese,"144,538",2.8
